标题,文本,文件名
美国对云母钛珠光颜料用于蒸馏酒的相关规定进行修改,2015年4月23日，美国发布G/SPS/N/USA/2754通报，拟允许mica-based pearlescent pigments（云母钛珠光颜料）作为食品添加剂用于蒸馏酒类。按照美国FDA之前的规定，当云母钛珠光颜料用于酒精含量在18%至25%（以体积计）之间的蒸馏酒时，最大添加量应不超过0.07%（以重量计），但对于含有超过5%葡萄酒的蒸馏酒混合物，则禁止使用该色素。根据嘉露葡萄酒公司（E.&J.Gallo）的申请，美国FDA拟该条规定，修改该禁令，允许含有超过5%葡萄酒的蒸馏酒混合物使用mica-based pearlescent pigments（云母钛珠光颜料）作为颜料。,SCFF.INFO(M).MT.050 饮料酒掺假检测方法及标准研究进展 （2015年6月）
美国拟对非转基因产品实施自愿标示管理措施,2015年5月14日，据美联社消息，美国农业部（USDA）拟出台非转基因产品自愿标示管理措施。该项措施属于非强制措施，各企业可以根据自己实际情况选择使用。申请获得“农业部非转基因产品标示”需要付费。美国农业部市场管理局（AMS）将负责非转基因申请、审批工作。,SCFF.INFO(M).MT.050 饮料酒掺假检测方法及标准研究进展 （2015年6月）
美国就强制性食品召回行业指南草案征求意见,据美国食品药品管理局（FDA）消息，5月6日美国FDA在联邦公报上刊登公告，就强制性食品召回行业指南草案征求意见。征求意见期限为60天。在美国《食品安全现代化法》的框架下，如果按照美国《联邦食品、药品于化妆品法令》的要求，美国FDA认为食品存在受污染或者标识违规的可能，那么可以要求食品责任单位对食品实施召回。2015年2月份，美国FDA向国会报告称，已经两次使用最新召回权利。在这两起事件中，美国FDA向食品责任单位发布了警告信，警示他们如果不停止问题产品的销售并发起召回，那么FDA有可能强制其停止销售，并向其他单位发布通告。本次指南草案以问答的形式列出了美国FDA是如何使用这种强制性召回权利的，这些问答包括：美国FDA强制性食品召回权利涵盖哪些食品？强制性召回的标准是什么？FDA在实施强制性召回时应该遵循的程序有哪些？,SCFF.INFO(M).MT.050 饮料酒掺假检测方法及标准研究进展 （2015年6月）
美国修订抗倒酯的最大残留限量,2015年5月20日，美国环保署发布对抗倒酯（Trinexapac-ethyl）的残留限量要求，本规则于2015年5月20日起生效，反对或听证要求按40 CFR§178的说明在2015年7月30日前提交。具体如下：,SCFF.INFO(M).MT.050 饮料酒掺假检测方法及标准研究进展 （2015年6月）
加拿大征求改善食品标签和现代化食品标签系统的建议,2015年5月22日，加拿大食品检验署（CFIA）发布公告，向公众征求改善食品标签和现代化食品标签系统的建议。这是CFIA现代化食品标签计划的第二阶段。此次征求意见的重点在于食品标签的几个特定标注，如最佳食用日期的格式修改、扩大食品标注种类、修正食品经销商情况等。该征求建议的截至日期为2015年6月30日。,SCFF.INFO(M).MT.050 饮料酒掺假检测方法及标准研究进展 （2015年6月）
加拿大拟修订戊唑醇、氟噻虫砜和胺苯吡菌酮的最大残留限量,2015年5月25日，据加拿大卫生部消息，加拿大卫生部发布PMRL2015-17至PMRL2015-19号通报，有害生物管理局提议修订戊唑醇（Tebuconazole）、氟噻虫砜（Fluensulfone）和胺苯吡菌酮（Fenpyrazamine）的最大残留限量。具体如下：,SCFF.INFO(M).MT.050 饮料酒掺假检测方法及标准研究进展 （2015年6月）
加拿大拟制定溴氰菊酯等的最大残留限量,2015年5月18日，加拿大分别发布G/SPS/N/CAN/932、G/SPS/N/CAN/933、G/SPS/N/CAN/934通报，就卫生部有害生物管理局提出的PMRL2015-13号、PMRL2015-14和PMRL2015-15号文件中有关溴氰菊酯、氟唑环菌胺和腈菌唑的最大残留限量值列表进行咨询，以下为提出的不同物质中溴氰菊酯、氟唑环菌胺和腈菌唑的最大残留限量值（MRLs）：这些限量的批准日期一般在加拿大卫生部网站提出最大残留限量文件后4至5个月内，生效日期与批准日期相同，最后评议截止日期为2015年7月26日。,SCFF.INFO(M).MT.050 饮料酒掺假检测方法及标准研究进展 （2015年6月）
加拿大拟修订葚孢菌素的最大残留限量,2015年5月8日，据加拿大卫生部消息，加拿大卫生部发布PMRL2015-16号通报，有害生物管理局提议修订葚孢菌素（Spiroxamine）的最大残留限量。具体如下：,SCFF.INFO(M).MT.050 饮料酒掺假检测方法及标准研究进展 （2015年6月）
韩国制定进口食品安全管理特别法草案,2015年5月26日，据韩国食药监局（KFDA）消息，为保障进口食品安全，韩国制定发布《进口食品安全管理特别法》（草案），主要内容包括：1.进口食品企业的经营业务的登记或注册；2.进口食品的卫生检验管理和相关费用收取规定；3.进口食品不合格信息的发布内容和发布程序；4.进口食品的追溯管理；5.境外食品生产企业的检查等,SCFF.INFO(M).MT.050 饮料酒掺假检测方法及标准研究进展 （2015年6月）
巴西拟制订食品中多种农残限量,2015年5月22日，巴西发布G/SPS/N/BRA/1042至1044号通报，拟制定大米、燕麦等食品中嘧菌酯的最大残留限量及使用安全降解期。具体见下表：,SCFF.INFO(M).MT.050 饮料酒掺假检测方法及标准研究进展 （2015年6月）
津巴布韦颁布进口货物入境新规,商务部网站3月23日消息，津巴布韦工商部近日发布货物认证评估方案（简称CBCA）。根据CBCA方案的规定，自2015年5月16日起，所有出口至津巴布韦的货物在离岸前要进行产品认证。认证合格后取得CBCA证书，清关行在货物抵津清关时需出示CBCA证书。如未取得CBCA证书，海关将拒绝其入境。涉及产品包括：食品和农产品、护肤品等。详情可登陆津巴布韦政府部门网站进一步了解：原文链接：http://www.mic.gov.zw/143-notice...valuation-programme。,SCFF.INFO(M).MT.050 饮料酒掺假检测方法及标准研究进展 （2015年6月）
台湾地区将于2015年7月1日起施行基因改造食品标示新规,台湾地区“卫生福利部”于2015年5月29日发布部授食字第1041301628号公告，修正“包装食品含基因改造食品原料标示应遵行事项”、“食品添加物含基因改造食品原料标示应遵行事项”及“散装食品含基因改造食品原料标示应遵行事项”。包装食品、食品添加物自2015年12月31日施行(以产品产制日期为准)；散装食品依品项及对象自2015年7月1日起分三阶段施行。相较于现行的基因改造食品标示规范，该次增修订重点包括：1.扩大实施范围，将现行包装食品扩大至食品添加物及散装食品。2.非基因改造食品原料非有意搀入基因改造食品原料超过3％，即视为基因改造食品原料，须标示“基因改造”等字样，较现行5％规定严格。3.直接使用基因改造食品原料，于终产品已不含转殖基因片段或转殖蛋白质的高层次加工品(如黄豆油、酱油、玉米糖浆等)，由可免标示调整至应标示下列之一：(1)“基因改造”、“含基因改造”或“使用基因改造〇〇”。(2)“本产品为基因改造〇〇加工制成，但已不含基因改造成分”或“本产品加工原料中有基因改造〇〇，但已不含有基因改造成分”。(3)“本产品不含基因改造成分，但为基因改造〇〇加工制成”或“本产品不含基因改造成分，但加工原料中有基因改造〇〇”。4.规范欲标示“非基因改造”或“不是基因改造”字样的食品原料，在国际上须有已审核通过可种植或作为食品原料使用的相对基因改造食品原料，始得标示；并可依非故意搀杂率标示“符合〇〇(国家)标准(或等同意义字样)”或以实际的非故意搀杂率标示。5.标示字体长度及宽度维持不得小于2毫米，但“基因改造”、“含基因改造”或“使用基因改造〇〇”字样须与其他文字明显区别。如于施行日起经查获产品未依食品安全卫生管理法第22条、第24条或第25条规定完整标示，依同法第47条规定，处新台币3万至300万元罚款；如标示有不实、夸张或易生误解等违反同法第28条规定的情形，依据同法第45条第1项规定，处新台币4万元以上400万元以下罚款。违规产品依同法第52条规定应限期回收改正，改正前不得继续贩卖，届期未遵行者，没入销毁之。,SCFF.INFO(M).MT.050 饮料酒掺假检测方法及标准研究进展 （2015年6月）
国家食药总局副局长滕佳材解读新修订《食品安全法》,4月24日，十二届全国人大常委会第十四次会议表决通过了新修订的《食品安全法》。该法确立了哪些食品安全工作的新理念？在监管制度方面进行了哪些创新？又有哪些变化和特点？对此，中国食品报记者专访了国家食品药品监管总局副局长滕佳材。记者：新修订的《食品安全法》确立了哪些食品安全工作的新理念？　　滕佳材：新修订的《食品安全法》确立了食品安全工作的新理念，在总则中规定了食品安全工作要实行预防为主、风险管理、全程控制、社会共治的基本原则，要建立科学、严格的监管制度。　　具体来说，在预防为主方面，强化了食品生产经营过程和政府监管中的风险预防要求。例如，将食品召回对象由原来的“食品生产者发现其生产的食品不符合食品安全标准，应当立即停止生产，召回已经上市销售的食品”修改为“食品生产者发现其生产的食品不符合食品安全标准或者有证据证明可能危害人体健康的，应当立即停止生产，召回已经上市销售的食品”。在风险管理方面，提出了食品药品监管部门根据食品安全风险监测、风险评估结果和食品安全状况等，确定监管重点、方式和频次，实施风险分级管理。在全程控制方面，提出了国家要建立食品全程追溯制度。食品生产经营者要建立食品安全追溯体系，保证食品可追溯。在社会共治方面，强化了行业协会、消费者协会、新闻媒体、群众投诉举报等方面的规定。例如规定在制定食品安全标准时，食品安全国家标准审评委员会中要增加食品行业协会、消费者协会的代表参加，充分发挥行业组织、消费者组织的作用。　　记者：新修订的《食品安全法》如何推进食品安全社会共治？　　滕佳材：食品安全是一个系统工程，需要全社会共同努力对食品安全实行社会共治，这已经成为社会各界的共识。新修订的《食品安全法》将社会共治作为食品安全工作遵循的总原则写入，并在具体条文中从五个方面做了具体规定。　　一是强化行业自律。在继续强化行业自律要求的同时，增设食品行业协会应当依照章程建立健全行业规范和奖惩机制。二是强化消费者协会监督。增设消费者协会和其他消费者组织对侵害消费者合法权益的食品安全违法行为，进行社会监督。三是强化有关行业主管部门的职责。学校、托幼机构、养老机构、建筑工业等集中用餐单位的主管部门应当加强食品安全知识教育和日常管理，降低食品安全风险，及时消除食品安全隐患。四是强化群众监督。为增强投诉举报的积极性，特别是企业内部人员举报的积极性和主动性，新修订的《食品安全法》增设有关部门应对举报人的相关信息予以保密，保护举报人的合法权益。举报人举报所在企业的，该企业不得以解除、变更劳动合同或者其他方式对举报人进行打击报复。五是强调新闻媒体的监督和自律。新闻媒体一直是发现和揭露食品安全违法问题、推进我国食品安全进步的主要力量之一。新修订的《食品安全法》在继续强化新闻媒体进行监督的同时，提出有关食品安全的宣传报道应当真实、公正，并规定媒体编造、散布虚假食品安全信息的，由有关主管部门依法给予处罚，并对直接负责的主管人员和直接负责人员给予处分。　　记者：新修订的《食品安全法》在监管制度方面进行了哪些创新？　　滕佳材：一是增设风险分级管理制度。为提高监管效果，合理分配监管力量和监管资源，新修订的《食品安全法》规定食品安全监管部门应当根据食品安全风险监测、评估结果和食品安全状况等确定监管重点、方式和频次，实施风险分级管理。二是增设责任约谈制度。为督促履行有关方面食品安全监管责任，增设了责任约谈制度，食品药品监管部门可以对未及时采取措施消除隐患的食品生产经营者的主要负责人进行责任约谈；政府可以对未及时发现系统性风险、未及时消除监管区域内的食品安全隐患的监管部门主要负责人和下级人民政府主要负责人进行责任约谈。三是实行食品安全信用档案公开和通报制度。新修订的《食品安全法》规定食品药品监管部门应当建立食品生产经营者食品安全信用档案，记录许可颁发、日常监督检查结果、违法行为查处等情况，依法向社会公布并实时更新，并可以向投资、证券等管理部门通报。 记者：新修订的《食品安全法》是如何强化企业主体责任的？　　滕佳材：新修订的《食品安全法》在以下三个方面强化了食品生产经营者的主体责任。一是要求健全落实企业食品安全管理制度。提出食品生产经营企业应当建立食品安全管理制度，配备专职或者兼职的食品安全管理人员，并加强对其培训和考核。要求企业主要负责人对本企业的食品安全工作全面负责，认真落实食品安全管理制度。二是强化生产经营过程的风险控制。提出要在食品生产经营过程中加强风险控制，要求食品生产企业建立并实施原辅料、关键环节、检验检测、运输等风险控制体系。三是增设食品安全自查和报告制度。提出食品生产经营者要定期检查评价食品安全状况；条件发生变化，不再符合食品安全要求的，食品生产经营者应当采取整改措施；有发生食品安全事故潜在风险的，应当立即停止生产经营，并向食品药品监管部门报告。　　记者：新修订的《食品安全法》是如何强化地方政府属地管理责任的？　　滕佳材：地方政府守土有责，应当对辖区食品安全监管负责。新修订的《食品安全法》有针对性地强化了地方政府食品安全管理责任。　　一是强化食品安全保障能力。针对一些地方不重视食品安全工作，食品安全监管能力不足的问题，新修订的《食品安全法》提出县级以上人民政府要将食品安全工作纳入本级国民经济和社会发展规划，将食品安全工作经费列入本级政府财政预算，加强食品安全监管能力建设。二是实行食品安全管理责任制。新修订的《食品安全法》要求上级人民政府要对下一级人民政府和本级食品安全监管部门的工作做出评议和考核。三是强化对小作坊、食品摊贩等监管。新修订的《食品安全法》要求省级人大或省级人民政府制定食品生产加工小作坊和食品摊贩等的具体管理办法。按照《立法法》的规定，法律规定明确要求有关国家机关对专门事项作出配套具体规定的，有关国家机关应当自法律施行之日起一年内作出规定。四是强化责任追究。新修订的《食品安全法》强化了地方政府的食品安全责任追究，要求对不依法报告、处置食品安全事故，或者对本行政区域内涉及多环节的区域性食品安全问题未及时组织进行整治，未建立食品安全全程监管工作机制和信息共享机制等情形，设立了相应的行政处分。　　记者：新修订的《食品安全法》如何规范互联网食品交易等第三方平台？　　滕佳材：新修订的《食品安全法》对互联网食品交易做了比较明确的规定，明确了三项义务：一是一般性义务。要求网络食品第三方交易平台要对入网食品经营者实名登记，明确其食品安全管理责任。二是管理义务。要求网络食品第三方交易平台要对依法取得许可证才能经营的食品经营者许可证进行审查；发现入网食品经营者有违法行为的，应当及时制止，并且要立即报告食品药品监管部门；对发现严重违法行为应当立即停止提供网络交易平台的服务。三是消费者权益保护义务。包括消费者通过网络食品交易第三方平台购买食品，其合法权益受到损害的，可以向入网的食品经营者或者食品生产者要求赔偿；网络食品第三方交易平台提供者不能提供入网食品经营者真实姓名、名称、地址和有效方式的，要由网络食品交易平台提供者赔偿；网络食品交易第三方平台提供者赔偿后，有权向入网食品经营者或者生产者进行追偿；网络食品第三方交易平台提供者如果做出更有利于消费者承诺的，应当履行承诺。 记者：新修订的《食品安全法》如何强化餐饮服务提供者的过程控制和监督？　　滕佳材：原料安全是餐饮服务食品安全的第一道门槛。关于餐饮服务提供者原料控制的要求，新修订的《食品安全法》不仅对餐饮服务提供者采购的原料品质进行了规定，还提出了进货查验、索证索票和采购记录等程序性要求，以确保食品原料来源可靠、问题可溯。　　新修订的《食品安全法》鼓励餐饮服务提供者公开加工过程等信息，是满足消费者知情权益的客观要求。正如目前总局在餐饮服务行业积极推进“明厨亮灶”的做法，就是鼓励餐饮服务提供者通过优化场所布局，采取透视明档、矮墙展示、视频传输、参观回廊、开放式厨房等多种方式，将食品加工制作过程展示在消费者视线下，揭开后厨的“神秘面纱”。根据这项鼓励性规定，“明厨亮灶”做法将全面推开。记者：为什么要对特殊医学用途配方食品实行注册管理？滕佳材：特殊医学用途配方食品，是指为满足进食受限、消化吸收障碍、代谢紊乱或特定疾病状态人群对营养素或膳食的特殊需要，专门加工配制而成的配方食品。该类食品有严格的适应症和禁忌症，需要在医生或临床营养师的指导下，根据不同疾病状况的营养需求选择产品。因此，该类食品属于特殊食品，其产品配方研制以医学和营养学的研究成果为依据，其安全性、营养充足性以及临床效果均需要经过科学证实，应当科学合理；原料质量应当严格把关；生产工艺和生产过程应当严格控制，产品质量应符合标准要求，营养成分含量应当稳定，产品标签说明书应准确规范。总局通过实行产品注册，审查产品的配方、生产工艺、标签、说明书、安全性、营养充足性以及临床（使用）效果等材料，保障产品适用人群的营养需求和食用安全，避免引起不良反应。记者：新修订的《食品安全法》对保健食品监管做了哪些新规定？　滕佳材：由于保健食品法律法规不完善，保健食品市场混乱问题较为突出。在这次《食品安全法》修订中，保健食品是否实施注册制度、应如何加强监管，成为立法的焦点之一。监管制度从模糊到清晰，监管措施由单一措施到多措并举，在以下几个方面取得了重大突破和进展。一是明确了对保健食品实行注册和备案分类管理制度，改变了过去单一的产品注册管理制度。二是明确了保健食品原料目录及功能目录管理制度，通过制定保健食品原料目录，明确原料用量和对应功效，对使用符合保健食品原料目录规定原料的产品实施备案管理。三是明确了保健食品企业应落实主体责任，生产必须符合良好规范并实行定期报告制度等。四是明确了保健食品广告发布必须经过省级食品药品监管部门审查。五是明确了保健食品违法违规行为的处罚依据。记者：新修订的《食品安全法》对食用农产品抽样检验是如何规定的？  滕佳材：新修订的《食品安全法》将食用农产品的市场销售纳入法律的调整范围，并明确规定禁止将剧毒、高毒农药用于蔬菜、瓜果、茶叶和中草药材等国家规定的农作物。县级以上食品药品监管部门在食品安全监管工作中可以采用国家规定的快速检测方法对食品进行抽查检测。对抽查检测结果表明可能不符合食品安全标准的食品，应当依法进行检验。抽查检验结果确定有关食品不符合食品安全标准的，可以作为行政处罚的依据。抽样检验是通过对末端产品依照法规标准进行检验，防止不合格产品危害消费者健康的有效手段。食品药品监管部门以消费量大、社会广泛关注的蔬菜、生鲜肉、水产品等食用农产品为重点品种，以农药兽药残留为重点监测项目，在食用农产品批发市场、集贸市场、商场超市、餐饮服务单位等环节和场所进行抽样检验。　以2014年为例，总局委托地方抽验食用农产品近7000批次，重点监测问题多发的氧乐果、敌敌畏、恩诺沙星、克伦特罗、强力霉素、土霉素等60多项农药残留和兽药残留指标。针对国家食品安全监督抽验中发现的不合格产品，总局已部署地方相关食品药品监管部门对不合格产品及其生产经营企业及时依法查处，并责令违法生产经营企业及时采取措施，防控食品安全风险。　新修订的《食品安全法》实施后，我们将在研究加强与农业部门的产地准出和市场准入管理有效衔接机制的基础上，不断提高食用农产品的抽检覆盖率：　一是要求食用农产品批发市场进行自检，切实履行食品安全主体责任。二是要求市县食品药品监管部门以蔬菜、畜禽肉、水产品等鲜活食用农产品为抽检重点，加大抽检力度。三是总局根据情况直接针对大型食用农产品批发市场、大型生产企业进行计划性或者突击性抽样。监管部门发现不符合食品安全标准的，将严格依法依规进行查处，并及时向社会公布抽检结果。,SCFF.INFO(M).MT.050 饮料酒掺假检测方法及标准研究进展 （2015年6月）
卫计委发布“行政许可事项公开目录（15项）,近日，国家卫计委发布了《国家卫生计生委行政许可事项公开目录》，共涉及到新食品原料审批、食品添加剂新品种审批等15项，食品相关审批事项列表如下：,SCFF.INFO(M).MT.050 饮料酒掺假检测方法及标准研究进展 （2015年6月）
商务部发布“重要产品追溯体系”标识征求意见公告,根据国务院统一部署，商务部牵头利用物联网建设重要产品追溯体系，形成“来源可查、去向可追、责任可究”的信息链条。2010年以来，商务部会同财政部已在全国58个城市开展肉类蔬菜流通追溯体系试点，18个省开展中药材流通追溯体系试点，4省8家酒企开展酒类流通追溯体系建设试点。下一步，将会同有关部门继续扩大追溯体系覆盖品种、范围，延伸追溯链条，实现重要产品从原料、生产加工、流通到消费的全程可追溯。 为提升重要产品追溯体系的形象辨识度和公众认知度，方便广大消费者了解、接受追溯体系，主动选购可追溯产品，商务部拟推行统一标识，用于相关工作宣传，标识可追溯产品和企业。商务部委托第三方专业机构，设计制作了3个标识备选方案（设计效果及创意说明见附件）。目前上述方案正式向公众征求意见。投票时间：2015年5月8日-5月25日投票地址：http://traceability.mofcom.gov.cn/toupiao.html联系电话：010-51662601-538,SCFF.INFO(M).MT.050 饮料酒掺假检测方法及标准研究进展 （2015年6月）
质检总局和国家标准委提出加强地方标准化工作22条措施,为贯彻落实国务院《深化标准化工作改革方案》，质检总局、国家标准委印发了《关于改进和加强地方标准化工作的意见》，就进一步加强地方标准化工作、提升地方标准化工作的能力和水平、更好地服务和支撑地方经济社会发展，从6个方面提出22条意见。《意见》提出，要激发企业在标准实施中的内生动力；发挥好行业组织、科研机构、学术团体以及相关标准化专业组织在标准实施中的桥梁纽带作用。《意见》提出，要改革企业产品标准备案制度，进一步放开搞活企业标准，推动建立企业产品和服务标准自我声明公开和监督制度，逐步取消政府对企业产品标准的备案管理，落实企业主体责任，修订相关企业标准备案地方法规规章，明确改革内容，研究出台激励政策，切实做好宣传引导。《意见》明确了加大对企业标准化工作的指导的3方面工作：一是加强对企业标准化工作分类指导，支持大型企业、行业领军企业和创新型企业更多参与国家重要标准研制，实质性参与国际标准化活动，引导中小型企业积极采用国际标准和国外先进标准，提升企业竞争力；二是发挥企业主体作用，引导企业建立标准化工作机制，加强企业标准体系建设，改进标准化良好行为企业创建活动，探索引入市场机制，充分发挥标准化专业服务机构作用，为开展标准化良好行为创建活动的企业提供咨询和确认服务；三是支持企业开展联盟标准制定，研究出台政策措施，继续支持企业制定联盟标准，增加市场标准有效供给，鼓励企业联盟标准向团体标准过渡，为培育发展团体标准积累经验。,SCFF.INFO(M).MT.050 饮料酒掺假检测方法及标准研究进展 （2015年6月）
第四届酒类食品安全检测标准化技术培训会将于6月23-26日在北京召开,酒类食品安全检测标准化技术培训会从2012年至2014年来已成功举办三届，培训会旨在提高企业产品质量安全检测标准化技术水平，使酒类企业技术人员了解食品安全相关法规、限量标准的最新研究动态，掌握国家标准检测方法，做好食品质量安全保障工作。培训会积极推动了酒类行业食品安全检测标准化技术的发展，提高了酒类企业技术人员的标准化检测水平。培训会采用理论讲解、实验操作及会后检测方法能力验证相结合的方式进行。邀请食品安全权威专家对热点问题和重点标准进行全面解读和分析；对重点方法标准进行基础原理讲解和实验操作。本届热点氨基甲酸乙酯：《GB5009.223-2014食品安全国家标准食品中氨基甲酸乙酯的测定》将于2015年7月28日正式实施，标准规定了啤酒、葡萄酒、黄酒、白酒等酒类以及酱油中氨基甲酸乙酯含量的测定方法；目前关于酒类的限量标准正在起草制定过程。本届培训会邀请了氨基甲酸乙酯分析方法国家标准起草制定负责人浙江疾控中心吴平谷主任详细解读新版国家食品安全标准的操作注意要点; 邀请国家食品安全风险评估中心承担酒类中氨基甲酸乙酯风险评估工作专家介绍酒类中氨基甲酸乙酯的风险评估情况，第一时间了解酒中氨基甲酸乙酯限量标准制定动态。氰化物：《食品安全国家标准食品中氰化物的测定》将于2016正式发布，新方法采用顶空-气相色谱法，与原国标（比色谱法）相比具有干扰小、准确度好，灵敏度高的特点，为酒类中氰化物测定及酿酒原料中氰化物筛查测定、提供标准检测手段。重金属：《GB2762-2012国家食品安全标准食品中污染物限量》中规定了食品中污染物指标有17项，其中包括了铅、镉、砷、铜、汞等重金属，最新《食品安全国家标准食品中铅、镉、砷、铜、汞的测定》将于2016正式，本届培训将对酒类中重金属的最新检测方法标准操作要点进行详细讲解。真菌毒素：黄曲霉毒素和赭曲霉毒素A是酒类食品重点关注的2种真菌毒素，《食品安全国家标准食品中赭曲霉毒素A、黄曲霉毒素的测定》两项标准将于2016正式发布；葡萄酒中赭曲霉毒素A的限量标准完成了研究制定过程，本届培训会由中国食品发酵工业研究院（赭曲霉毒素A限量标准、测定方法标准起草单位）相关专家对赭曲霉毒素A和黄曲霉毒素最新版检测方法标准具体操作要点进行详细讲解。甲醇与高级醇：《食品安全国家标准食品中甲醇的测定》将于2016正式发布，该标准整合优化了《GB/T5009.48-2003蒸馏酒和配制酒卫生标准的分析方法》和《GB/T 15038-2006 葡萄酒、果酒分析方法》。本届培训会将由标准起草单位中国食品发酵工业研究院相关专家对该标准研究工作以及具体操作要点进行详细讲解。,SCFF.INFO(M).MT.050 饮料酒掺假检测方法及标准研究进展 （2015年6月）
中国认证认可协会发布首批22项社团标准,2014年5月16日，中国认证认可协会发布《食品安全管理体系 谷物加工企业要求》等22项社团标准。在发布公告中，中国认证认可协会表示：为落实国家认监委《食品安全管理体系认证实施规则》（CNCA—N—007）要求，受国家认监委委托，中国认证认可协会组织30余家认证机构、食品企业进行了食品安全管理体系认证技术规范的标准起草工作，并由全国认证认可标准化技术委员会（SAC/TC261）秘书处组织专家进行技术审查，顺利通过了国家认监委认证技术规范备案。为响应今年全国标准化工作会议提出的“积极培育和发展社会团体标准”的改革倡议，中国认证认可协会对此次制订的22项食品安全管理体系认证技术规范首次以社团标准的形式进行了发布。此22项社团标准中包含了一项酒精饮料相关标准：CCAA 0015-2014 《食品安全管理体系 食用酒精生产企业要求》。,SCFF.INFO(M).MT.050 饮料酒掺假检测方法及标准研究进展 （2015年6月）
《食品工业企业诚信管理体系建立及实施通用要求》国家标准正在征求意见,由工业和信息化部负责归口制定的国家标准《食品工业企业诚信管理体系建立及实施通用要求》（征求意见稿）已完成，现公开征求意见。此前的2009 年12 月30日，工信部会同10 部门联合发布了《食品工业企业诚信体系建设工作指导意见》。2010-2014 年间，工信部制定年度食品工业企业诚信体系建设工作实施方案，在全国范围内部署推进诚信体系建设工作。通过近5 年的努力，目前，食品工业企业建设工作稳步推进并取得初步成效。2010 年8 月16 日，工信部发布了由国家认证认可监督管理委员会认证认可技术研究所负责组织起草的《食品工业企业诚信管理体系（CMS）建立及实施通用要求》（QB/T 4111-2010）行业标准，并于2010 年10 月1 日开始实施。该标准是食品工业企业建立及实施诚信管理体系的重要依据，是保障食品工业企业诚信体系运行机制有效运行的重要支撑。QB/T 4111-2010标准自2010 年发布以来，在全国范围内得到较好的贯彻实施，31 个省、自治区、直辖市全面开展了食品工业企业诚信体系建设工作，共召开标准宣贯会200 余次，5000 多家企业、2 万多人接受指导和培训，1000 多家食品工业企业建立了诚信管理体系，500 多家食品工业企业获得了诚信管理体系证书。同时，该标准在实施中得到了多数企业的认可，认为该标准在帮助企业规避失信风险、建设诚信文化、履行社会责任、促进企业合规性建设及提高员工诚信意识等方面发挥了重要作用。据悉，此次标准由行业标准升级为国家标准，将进一步促进《食品安全法》等法律法规要求的贯彻实施，扩大原有标准的适用范围，工信部也将推动该标准与质量管理体系（GB/T 19001-2008）、环境管理体系（GB/T 24001-2004）、职业健康管理体系（GB/T 28001-2011）等标准的融合。,SCFF.INFO(M).MT.050 饮料酒掺假检测方法及标准研究进展 （2015年6月）
质检总局发布3月份进境不合格食品化妆品信息,近日，质检总局进出口食品安全局发布了3月份进境不合格食品化妆品信息，其中涉及到数款酒类产品，主要原因包括铜超标、标签不合格、甲醇超标、报检资料不全、违规使用添加剂等。附：进境食品化妆品不合格信息（2015年3月）,SCFF.INFO(M).MT.050 饮料酒掺假检测方法及标准研究进展 （2015年6月）
英国发布苏格兰威士忌认证指南,2015年6月17日，英国发布G/TBT/N/GBR/25通报，通报了苏格兰威士忌认证指南（2014），该指南指出，对酒精饮料认证的依据是欧洲议会和理事会关于酒精饮料定义、说明、介绍、标签和地理标识保护的法规（EC）No 110/2008第22条。（EC）No 110/2008规定成员国应制定措施确保销售的带受保护地理标识的酒精饮料依照产品技术文件规定的特殊条件生产。在英国，本法规涉及到苏格兰威士忌、爱尔兰威士忌、爱尔兰奶油威士忌及萨默塞特苹果白兰地酒，上述产品已经在EC110/2008法规附录III中注册。法规No 110/2008第22条要求相关酒精饮料在上市之前经主管机关认证与技术文件相符。本条还要求相关酒精饮料认证成本由生产商承担。税务和海关专员（专员）被指定为进行法规附录III注册的酒精饮料认证的责任人，其职责是规划和管理相关酒精饮料的认证制度，测试其是否与技术文件相符。专员必须收取认证费，详细信息在认证制度中公布。酒精饮料（认证指南）法规为英国生产的带地理标识的酒精饮料认证制度提供了正式文本，还规定了生产商获得相关认证所需的费用。,SCFF.INFO(M).MT.051 邻苯二甲酸酯含量的检测 （2015年7月）
美国环保署拟于2015年6月底前决定是否禁用毒死蜱,加州法院近期裁定美国环保署（EPA）必须在2015年6月底前做出毒死蜱是否禁用的决定。若EPA倾向于拒绝该行政诉讼，其应当在不晚于2015年9月15日发布拒绝文书。2007年，美国农药行动网和美国自然资源保护委员会因要求EPA取消毒死蜱的登记提起诉讼，此次下达的法令是为了回应该案件。尽管毒死蜱十多年来禁止在居住范围内施用，但仍被商用于玉米、大豆、水果、坚果树和某些高尔夫球场中，预计每年的施用量为1000万磅。然而，包括陶氏益农在内的农化公司主张毒死蜱的安全性和效用，但科学家已经就人类暴露在该农药下的健康问题表示担忧。,SCFF.INFO(M).MT.051 邻苯二甲酸酯含量的检测 （2015年7月）
美国豁免食品加工场所、设备杀菌剂硫酸铝的残留限量要求,"2015年6月5日，美国环保署发布公告，当硫酸铝（Aluminum Sulfate, CAS No. 10043-01-3）作为用于公共饮食场所、乳制品加工设备、食品加工设备的食品接触表面以及餐具的杀菌剂中的农药助剂，且最终使用浓度不超过50ppm时，豁免其残留限量。",SCFF.INFO(M).MT.051 邻苯二甲酸酯含量的检测 （2015年7月）
